4,"ул 8 Марта, дом 6","Восьмого Марта ул., д.6","Москва","Россия",4,8,113,7965,,,37.555694,55.801239,"2014-06-22 22:35:31.559137","2014-06-22 18:50:47.114742"
5,"ул 8 Марта, дом 2/10, к 1","Восьмого Марта ул., д.2/10, к.1","Москва","Россия",1,14,97,4233,,,37.557568,55.799691,"2014-06-22 22:35:31.637048","2014-06-22 19:10:31.190254"
6,"ул 8 Марта, дом 8, к 1","Восьмого Марта ул., д.8, к.1","Москва","Россия",3,7,72,5113,,,37.6173,55.755826,"2014-06-22 22:35:31.647896","2014-06-22 19:10:31.486907"
7,"ул 8 Марта, дом 2/10, к 2","Восьмого Марта ул., д.2/10, к.2","Москва","Россия",1,14,98,4222,,,37.5574,55.800036,"2014-06-22 22:35:31.657551","2014-06-22 19:26:47.219455"
8,"ул 8 Марта, дом 8, к 2","Восьмого Марта ул., д.8, к.2","Москва","Россия",1,14,98,4241,,,37.6173,55.755826,"2014-06-22 22:35:31.670314","2014-06-22 19:26:47.436272"
9,"ул 8 Марта, дом 2/10, к 3","Восьмого Марта ул., д.2/10, к.3","Москва","Россия",1,14,98,4228,,,37.5585359,55.800004,"2014-06-22 22:35:31.682173","2014-06-22 19:26:47.673254"
10,"ул 800-летия Москвы, дом 16, к 2","Восьмисотлетия Москвы ул., д.16, к.2","Москва","Россия",1,12,96,3609,,,37.551112,55.877779,"2014-06-22 22:35:31.693973","2014-06-22 19:26:47.891764"
11,"ул 800-летия Москвы, дом 16, к 1","Восьмисотлетия Москвы ул., д.16, к.1","Москва","Россия",1,12,84,3667,,,37.551592,55.877431,"2014-06-22 22:35:31.705536","2014-06-22 19:26:48.111566"
12,"ул Авиаконструктора Микояна, дом 14, к 3","Микояна Авиаконструктора ул., д.14, к.3","Москва","Россия",4,14,160,16659,,,37.525109,55.792814,"2014-06-22 22:35:31.716882","2014-06-22 19:26:48.276514"
13,"ул Авиаконструктора Микояна, дом 14, к 2","Микояна Авиаконструктора ул., д.14, к.2","Москва","Россия",5,16,226,24398,,,37.5267,55.793943,"2014-06-22 22:35:31.728879","2014-06-22 19:26:48.520442"
14,"ул Авиаконструктора Микояна, дом 14, к 4","Микояна Авиаконструктора ул., д.14, к.4","Москва","Россия",5,22,259,27152,,,37.524305,55.793592,"2014-06-22 22:35:31.740417","2014-06-22 19:26:48.730020"
15,"ул Авиаконструктора Микояна, дом 14, к 1","Микояна Авиаконструктора ул., д.14, к.1","Москва","Россия",5,14,173,16918,,,37.527098,55.793238,"2014-06-22 22:35:31.751791","2014-06-22 19:26:48.943544"
16,"Астрадамская ул, дом 6","Астрадамская ул., д.6","Москва","Россия",6,9,214,10514,,,37.5642179,55.813771,"2014-06-22 22:35:31.761573","2014-06-22 19:26:49.162922"
17,"Астрадамская ул, дом 4","Астрадамская ул., д.4","Москва","Россия",8,9,287,14304,,,37.5656052,55.8120528,"2014-06-22 22:35:31.772756","2014-06-22 19:26:49.316514"
18,"Астрадамская ул, дом 1, к 4","Астрадамская ул., д.1, к.4","Москва","Россия",3,5,55,2519,,,37.56323,55.810242,"2014-06-22 22:35:31.784209","2014-06-22 19:30:14.086564"
19,"Астрадамская ул, дом 7Б","Астрадамская ул., д.7Б","Москва","Россия",5,5,100,4472,,,37.562169,55.811668,"2014-06-22 22:35:31.796466","2014-06-22 19:30:14.999307"
20,"Астрадамская ул, дом 11, к 3","Астрадамская ул., д.11, к.3","Москва","Россия",3,5,45,2430,,,37.561771,55.81335,"2014-06-22 22:35:31.807422","2014-06-22 19:30:15.719613"
21,"Астрадамская ул, дом 9Б","Астрадамская ул., д.9Б","Москва","Россия",3,5,60,2500,,,37.56162,55.812471,"2014-06-22 22:35:31.817392","2014-06-22 19:30:16.357629"
22,"Астрадамская ул, дом 6, к 1","Астрадамская ул., д.6, к.1","Москва","Россия",1,16,111,5296,,,37.564433,55.813148,"2014-06-22 22:35:31.830039","2014-06-22 19:30:17.274026"
23,"Астрадамская ул, дом 3","Астрадамская ул., д.3","Москва","Россия",3,5,60,2609,,,37.564712,55.811261,"2014-06-22 22:35:31.841373","2014-06-22 19:30:18.095257"
24,"Астрадамская ул, дом 1, к 3","Астрадамская ул., д.1, к.3","Москва","Россия",3,5,45,2421,,,37.563947,55.81042,"2014-06-22 22:35:31.852515","2014-06-22 19:30:18.564251"
25,"Астрадамская ул, дом 15А","Астрадамская ул., д.15А","Москва","Россия",3,5,60,2473,,,37.560597,55.814186,"2014-06-22 22:35:31.864756","2014-06-22 19:26:50.267164"
26,"Астрадамская ул, дом 9, к 1","Астрадамская ул., д.9, к.1","Москва","Россия",1,9,72,2600,,,37.563266,55.812774,"2014-06-22 22:35:31.876365","2014-06-22 19:26:50.443046"
27,"Астрадамская ул, дом 11, к 4","Астрадамская ул., д.11, к.4","Москва","Россия",2,4,32,2099,,,37.56118,55.813132,"2014-06-22 22:35:31.888079","2014-06-22 19:26:50.668264"
28,"Астрадамская ул, дом 13","Астрадамская ул., д.13","Москва","Россия",3,5,45,2439,,,37.562705,55.814244,"2014-06-22 22:35:31.899572","2014-06-22 19:26:50.871223"
29,"Астрадамская ул, дом 5А","Астрадамская ул., д.5А","Москва","Россия",4,5,80,3385,,,37.563035,55.810971,"2014-06-22 22:35:31.909812","2014-06-22 19:26:51.067791"
30,"Астрадамская ул, дом 15","Астрадамская ул., д.15","Москва","Россия",3,5,52,2147,,,37.561938,55.814493,"2014-06-22 22:35:31.921903","2014-06-22 19:26:51.210591"
31,"Астрадамская ул, дом 9, к 2","Астрадамская ул., д.9, к.2","Москва","Россия",1,9,72,2600,,,37.563223,55.813091,"2014-06-22 22:35:31.934586","2014-06-22 19:30:19.014983"
32,"Астрадамская ул, дом 15Б","Астрадамская ул., д.15Б","Москва","Россия",4,5,79,3368,,,37.560404,55.813636,"2014-06-22 22:35:31.945363","2014-06-22 19:30:19.493899"
33,"Астрадамская ул, дом 5","Астрадамская ул., д.5","Москва","Россия",1,12,84,3632,,,37.564745,55.811737,"2014-06-22 22:35:31.957104","2014-06-22 19:30:19.911026"
34,"Астрадамская ул, дом 7А","Астрадамская ул., д.7А","Москва","Россия",3,5,60,2497,,,37.562591,55.812,"2014-06-22 22:35:31.968948","2014-06-22 19:30:20.385927"
35,"Астрадамская ул, дом 1, к 2","Астрадамская ул., д.1, к.2","Москва","Россия",3,5,60,2571,,,37.56478,55.810651,"2014-06-22 22:35:31.982177","2014-06-22 19:30:20.834787"
36,"Астрадамская ул, дом 11, к 2","Астрадамская ул., д.11, к.2","Москва","Россия",3,5,44,2416,,,37.562371,55.813507,"2014-06-22 22:35:31.993683","2014-06-22 19:30:21.294824"
37,"Астрадамская ул, дом 11, к 1","Астрадамская ул., д.11, к.1","Москва","Россия",4,5,60,3272,,,37.563008,55.813675,"2014-06-22 22:35:32.005836","2014-06-22 19:30:21.736285"
38,"Астрадамская ул, дом 1, к 1","Астрадамская ул., д.1, к.1","Москва","Россия",4,5,68,2863,,,37.565693,55.81065,"2014-06-22 22:35:32.017481","2014-06-22 19:30:22.200712"
39,"Астрадамский проезд, дом 4А, к 2","Астрадамский пр., д.4А, к.2","Москва","Россия",1,30,196,17421,,,37.5618213,55.8114015,"2014-06-22 22:35:32.028518","2014-06-22 19:26:52.306977"
40,"Астрадамский проезд, дом 1","Астрадамский пр., д.1","Москва","Россия",4,5,80,3425,,,37.5588989,55.81193,"2014-06-22 22:35:32.039388","2014-06-22 19:26:52.495676"
41,"Астрадамский проезд, дом 4А, к 1","Астрадамский пр., д.4А, к.1","Москва","Россия",1,30,192,17323,,,37.561225,55.811102,"2014-06-22 22:35:32.048944","2014-06-22 19:26:52.717870"
42,"Астрадамский проезд, дом 3","Астрадамский пр., д.3","Москва","Россия",4,5,80,3520,,,37.5598,55.812109,"2014-06-22 22:35:32.059950","2014-06-22 19:26:52.919678"
43,"проезд Аэропорта, дом 6","Аэропорта пр., д.6","Москва","Россия",5,5,100,3949,,,37.523258,55.797437,"2014-06-22 22:35:32.069747","2014-06-22 19:26:53.180092"
44,"проезд Аэропорта, дом 3","Аэропорта пр., д.3","Москва","Россия",3,5,60,2493,,,37.523224,55.796507,"2014-06-22 22:35:32.080916","2014-06-22 19:26:53.391754"
45,"проезд Аэропорта, дом 11","Аэропорта пр., д.11","Москва","Россия",3,5,58,3732,,,37.522157,55.796862,"2014-06-22 22:35:32.092213","2014-06-22 19:30:22.999195"
46,"проезд Аэропорта, дом 11Б","Аэропорта пр., д.11Б","Москва","Россия",3,5,54,3683,,,37.521759,55.79557,"2014-06-22 22:35:32.103821","2014-06-22 19:30:23.725020"
47,"проезд Аэропорта, дом 11А","Аэропорта пр., д.11А","Москва","Россия",3,5,51,3329,,,37.522315,55.796183,"2014-06-22 22:35:32.113603","2014-06-22 19:30:24.255612"
48,"Башиловская ул, дом 21","Башиловская ул., д.21","Москва","Россия",4,12,185,9287,,,37.574589,55.801362,"2014-06-22 22:35:32.125750","2014-06-22 19:30:24.787558"
49,"Башиловская ул, дом 7","Башиловская ул., д.7","Москва","Россия",4,5,79,3364,,,37.576168,55.795468,"2014-06-22 22:35:32.137215","2014-06-22 19:30:25.234261"
50,"Башиловская ул, дом 14, к 2","Башиловская ул., д.14, к.2","Москва","Россия",2,5,40,1555,,,37.577051,55.797712,"2014-06-22 22:35:32.147903","2014-06-22 19:30:25.704556"
51,"Башиловская ул, дом 19","Башиловская ул., д.19","Москва","Россия",5,9,160,6932,,,37.5753196,55.7998466,"2014-06-22 22:35:32.157903","2014-06-22 19:30:26.166185"
52,"Башиловская ул, дом 1, к 1","Башиловская ул., д.1, к.1","Москва","Россия",6,9,191,9307,,,37.576704,55.792846,"2014-06-22 22:35:32.169690","2014-06-22 19:26:54.426712"
53,"Башиловская ул, дом 28","Башиловская ул., д.28","Москва","Россия",3,5,30,2663,,,37.573576,55.805083,"2014-06-22 22:35:32.180812","2014-06-22 19:26:54.625817"
54,"Башиловская ул, дом 27","Башиловская ул., д.27","Москва","Россия",3,5,60,2508,,,37.573046,55.804565,"2014-06-22 22:35:32.192217","2014-06-22 19:26:54.809311"
