name,address,city,country,n_porches,n_flats,n_floors,n_occupants
"ул 8 Марта, дом 6","Восьмого Марта ул., д.6",Москва,Россия,4,113,8,7965
"ул 8 Марта, дом 2/10, к 1","Восьмого Марта ул., д.2/10, к.1",Москва,Россия,1,97,14,4233
"ул 8 Марта, дом 8, к 1","Восьмого Марта ул., д.8, к.1",Москва,Россия,3,72,7,5113
"ул 8 Марта, дом 2/10, к 2","Восьмого Марта ул., д.2/10, к.2",Москва,Россия,1,98,14,4222
"ул 8 Марта, дом 8, к 2","Восьмого Марта ул., д.8, к.2",Москва,Россия,1,98,14,4241
"ул 8 Марта, дом 2/10, к 3","Восьмого Марта ул., д.2/10, к.3",Москва,Россия,1,98,14,4228
"ул 800-летия Москвы, дом 16, к 2","Восьмисотлетия Москвы ул., д.16, к.2",Москва,Россия,1,96,12,3609
"ул 800-летия Москвы, дом 16, к 1","Восьмисотлетия Москвы ул., д.16, к.1",Москва,Россия,1,84,12,3667
"ул Авиаконструктора Микояна, дом 14, к 3","Микояна Авиаконструктора ул., д.14, к.3",Москва,Россия,4,160,14,16659
"ул Авиаконструктора Микояна, дом 14, к 2","Микояна Авиаконструктора ул., д.14, к.2",Москва,Россия,5,226,16,24398
"ул Авиаконструктора Микояна, дом 14, к 4","Микояна Авиаконструктора ул., д.14, к.4",Москва,Россия,5,259,22,27152
"ул Авиаконструктора Микояна, дом 14, к 1","Микояна Авиаконструктора ул., д.14, к.1",Москва,Россия,5,173,14,16918
"Астрадамская ул, дом 6","Астрадамская ул., д.6",Москва,Россия,6,214,9,10514
"Астрадамская ул, дом 4","Астрадамская ул., д.4",Москва,Россия,8,287,9,14304
"Астрадамская ул, дом 1, к 4","Астрадамская ул., д.1, к.4",Москва,Россия,3,55,5,2519
"Астрадамская ул, дом 7Б","Астрадамская ул., д.7Б",Москва,Россия,5,100,5,4472
"Астрадамская ул, дом 11, к 3","Астрадамская ул., д.11, к.3",Москва,Россия,3,45,5,2430
"Астрадамская ул, дом 9Б","Астрадамская ул., д.9Б",Москва,Россия,3,60,5,2500
"Астрадамская ул, дом 6, к 1","Астрадамская ул., д.6, к.1",Москва,Россия,1,111,16,5296
"Астрадамская ул, дом 3","Астрадамская ул., д.3",Москва,Россия,3,60,5,2609
"Астрадамская ул, дом 1, к 3","Астрадамская ул., д.1, к.3",Москва,Россия,3,45,5,2421
"Астрадамская ул, дом 15А","Астрадамская ул., д.15А",Москва,Россия,3,60,5,2473
"Астрадамская ул, дом 9, к 1","Астрадамская ул., д.9, к.1",Москва,Россия,1,72,9,2600
"Астрадамская ул, дом 11, к 4","Астрадамская ул., д.11, к.4",Москва,Россия,2,32,4,2099
"Астрадамская ул, дом 13","Астрадамская ул., д.13",Москва,Россия,3,45,5,2439
"Астрадамская ул, дом 5А","Астрадамская ул., д.5А",Москва,Россия,4,80,5,3385
"Астрадамская ул, дом 15","Астрадамская ул., д.15",Москва,Россия,3,52,5,2147
"Астрадамская ул, дом 9, к 2","Астрадамская ул., д.9, к.2",Москва,Россия,1,72,9,2600
